    70.00           2.51612          0.011911         0.0365977
    74.00           1.92451         0.0111103         0.0271897
    78.00           1.42471          0.011819         0.0199636
    82.00           1.13908         0.0112653         0.0155527
    86.00          0.905958        0.00981203          0.011952
    90.00          0.722677        0.00902376        0.00926014
    94.00          0.587912         0.0103749        0.00758023
    98.00          0.497527          0.010115        0.00622905

  ----   l-/lep. eta    ----

    -9.20       -0.00262353        0.00555022       0.000690954
    -8.40         -0.023054         0.0116474       0.000992645
    -7.60         0.0911948         0.0269435        0.00187845
    -6.80          0.113954         0.0454281        0.00379584
    -6.00          0.372378          0.072552         0.0133897
    -5.20            2.0367           0.10974         0.0628613
    -4.40           9.82532          0.103133          0.241309
    -3.60           23.0846          0.117896          0.511207
    -2.80           37.5252          0.120847          0.755849
    -2.00           47.7837          0.115908          0.922857
    -1.20           53.9971           0.11799           1.06767
    -0.40            56.965          0.118181           1.19166
     0.40           56.8921          0.125332           1.18992
     1.20           54.0625          0.138676           1.07044
     2.00           47.9033          0.147259          0.924308
     2.80           37.6188          0.154838          0.758466
     3.60           23.2824          0.153195          0.514528
     4.40           9.77981          0.137581          0.240631
     5.20           2.33064          0.135486         0.0687932
     6.00          0.572285          0.123429         0.0163512
     6.80          0.175618          0.078882        0.00545147
     7.60         -0.110084         0.0294161        0.00254531
     8.40         0.0287926         0.0173751       0.000725582
     9.20        -0.0986329         0.0669548        0.00233013

  ----   l+/neu. pT     ----

     2.00           2.13292          0.195734         0.0462326
     6.00           6.39962          0.266275          0.139183
    10.00           11.2401          0.309369          0.236635
    14.00           16.2684          0.401621          0.336416
    18.00           20.6434          0.425751          0.434217
    22.00           26.8246          0.469213          0.554929
    26.00           32.1767          0.491717          0.662532
    30.00           38.1466          0.505181          0.784987
    34.00            48.531          0.488104          0.967471
    38.00           57.6239          0.514758           1.18009
    42.00           70.4502          0.561804           1.49608
    46.00           55.0789          0.492839           1.26183
    50.00           32.0945          0.117516          0.582179
    54.00           13.2977         0.0258452          0.220554
    58.00           7.53684         0.0177419          0.118784
    62.00           4.83445         0.0140605         0.0731828
    66.00           3.33177         0.0116426         0.0489262
    70.00            2.3794         0.0108614         0.0339522
    74.00           1.78523         0.0104142         0.0245948
    78.00           1.38446        0.00939422         0.0186226
    82.00           1.04529         0.0109769         0.0137415
    86.00           0.83136        0.00795501         0.0106762
    90.00          0.660126        0.00772743        0.00824376
    94.00          0.542774        0.00763196        0.00660288
    98.00          0.448052        0.00865287        0.00547134

  ----   l+/neu. eta    ----

    -9.20        -0.0200215        0.00411649       0.000818429
    -8.40          0.032144         0.0226553        0.00141346
    -7.60          0.118056         0.0245282        0.00237235
    -6.80         -0.176189          0.049555          0.003335
    -6.00          0.554965         0.0570023         0.0121306
    -5.20           1.37982         0.0702119         0.0365136
    -4.40           6.34988         0.0821378           0.13972
    -3.60           17.5458         0.0992374          0.371777
    -2.80           35.4715          0.114213          0.708877
    -2.00           50.7949          0.124708          0.987545
    -1.20            58.853          0.132577           1.17546
    -0.40           61.8952          0.134426           1.31218
     0.40           61.4826          0.140813           1.30454
     1.20           59.2586          0.150575           1.18191
     2.00           50.6954          0.161369          0.986154
     2.80            35.662          0.156147           0.71184
     3.60           17.6949          0.136567          0.373958
     4.40           6.33206          0.119169           0.14248
     5.20           1.48558         0.0962138         0.0394585
     6.00          0.678377          0.127868          0.015778
     6.80          0.180157         0.0749262        0.00479022
     7.60         0.0504795         0.0341476         0.0011561
     8.40        -0.0379572         0.0289525       0.000972817
     9.20        -0.0946381         0.0308137        0.00187007

  ----   jet 1 pT       ----

     2.50                 0             1e-10                 0
     7.50                 0             1e-10                 0
    12.50                 0             1e-10                 0
    17.50           1.15486         0.0313261         0.0196783
    22.50           28.4377         0.0622772          0.487051
    27.50           20.6407          0.043336          0.341585
    32.50           15.1795         0.0354524          0.244173
    37.50           11.4512         0.0322842          0.178185
    42.50           8.84467         0.0331234          0.134536
    47.50           6.97838         0.0318525           0.10337
    52.50           5.42446         0.0267508         0.0786062
    57.50           4.31296         0.0261386         0.0605859
    62.50           3.47878         0.0247943         0.0479947
    67.50           2.85171         0.0241675         0.0384306
    72.50            2.3918         0.0231533         0.0315438
    77.50           1.94722         0.0216419         0.0248029
    82.50           1.61719         0.0194945         0.0203783
    87.50           1.34947         0.0203596         0.0170172
    92.50           1.15362         0.0190415         0.0139606
    97.50          0.970733         0.0200292         0.0115834

  ----   jet 1 eta      ----

    -4.75        0.00588407       0.000681212       0.000565545
    -4.25          0.512172        0.00406644         0.0138478
    -3.75            1.3763        0.00690378         0.0235664
    -3.25           2.86907        0.00914048          0.042197
    -2.75           4.86826         0.0128262          0.069232
    -2.25           7.16959         0.0134142          0.102572
    -1.75           9.32471         0.0164667          0.141167
    -1.25           11.1392          0.017468           0.17853
    -0.75           12.3641         0.0172565          0.209961
    -0.25           13.0129         0.0167205          0.228739
     0.25           13.0211         0.0170217          0.228893
     0.75           12.3632          0.017242          0.209985
     1.25            11.141         0.0175288          0.178539
